gca	name	taxonomy	annotation_method	version_info	N50	fasta_file	gff_file
GCA_002105095	Pseudomassariella_GCF_002105095.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Pseudomassariaceae;Pseudomassariella;Pseudomassariella vexata	NCBI RefSeq	GCF_002105095.1	2561820	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_002105095.1_Pseve2_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_002105095.1_Pseve2_genomic.gff
GCA_004335205	Ascochyta_GCA_004335205.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Didymellaceae;Ascochyta;Ascochyta viciae-villosae	funannotate	GCA_004335205.1	58222	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_004335205/GCA_004335205.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_004335205/gene_prediction_results/predict_results/GCA_004335205.gff3
GCA_000338955	Baudoinia_GCF_000338955.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Teratosphaeriaceae;Baudoinia;Baudoinia panamericana;Baudoinia panamericana UAMH 10762	NCBI RefSeq	GCF_000338955.1	1299806	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000338955.1_Bauco1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000338955.1_Bauco1_genomic.gff
GCA_025603075	Neoconidiobolus_GCA_025603075.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Neoconidiobolus;Neoconidiobolus thromboides;Neoconidiobolus thromboides FSU 785	NCBI GenBank	GCA_025603075.1	90842	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025603075.1_Conth1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025603075.1_Conth1_genomic.gff
GCA_025558075	Gaertneriomyces_GCA_025558075.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Gaertneriomyces;Gaertneriomyces semiglobifer	NCBI GenBank	GCA_025558075.1	575746	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025558075.1_Gaesem1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025558075.1_Gaesem1_genomic.gff
GCA_003614675	Dimargaris_GCA_003614675.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Kickxellomycotina;Dimargaritomycetes;Dimargaritales;Dimargaritaceae;Dimargaris;Dimargaris cristalligena	NCBI GenBank	GCA_003614675.1	23917	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_003614675.1_DimcrSC1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_003614675.1_DimcrSC1_genomic.gff
GCA_027600645	Nowakowskiella_GCA_027600645.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae;Nowakowskiella;unclassified Nowakowskiella;Nowakowskiella sp. JEL0407	NCBI GenBank	GCA_027600645.1	52255	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027600645.1_ASM2760064v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027600645.1_ASM2760064v1_genomic.gff
GCA_000417875	Pseudozyma_GCF_000417875.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Pseudozyma;Pseudozyma flocculosa;Pseudozyma flocculosa PF-1	NCBI RefSeq	GCF_000417875.1	909735	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000417875.1_Pflocc_1.0_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000417875.1_Pflocc_1.0_genomic.gff
GCA_027604705	Allomyces_GCA_027604705.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces arbusculus	NCBI GenBank	GCA_027604705.1	317448	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604705.1_ASM2760470v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604705.1_ASM2760470v1_genomic.gff
GCA_003788615	Terfezia_GCA_003788615.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Pezizaceae;Terfezia;Terfezia boudieri;Terfezia boudieri ATCC MYA-4762	NCBI GenBank	GCA_003788615.2	784881	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_003788615.2_Terbo2_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_003788615.2_Terbo2_genomic.gff
GCA_001481775	Trichoderma_GCF_001481775.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma gamsii	NCBI RefSeq	GCF_001481775.2	697391	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_001481775.2_TGAM01v2_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_001481775.2_TGAM01v2_genomic.gff
GCA_002989075	Arthonia_GCA_002989075.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Arthoniomycetes;Arthoniales;Arthoniaceae;Arthonia;Arthonia radiata	funannotate	GCA_002989075.1	2247352	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_002989075/GCA_002989075.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_002989075/gene_prediction_results/predict_results/GCA_002989075.gff3
GCA_003988815	Chlorencoelia_GCA_003988815.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Cenangiaceae;Chlorencoelia;Chlorencoelia torta	funannotate	GCA_003988815.1	325484	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003988815/GCA_003988815.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003988815/gene_prediction_results/predict_results/GCA_003988815.gff3
GCA_027604345	Boothiomyces_GCA_027604345.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Boothiomyces;unclassified Boothiomyces;Boothiomyces sp. JEL0866	NCBI GenBank	GCA_027604345.1	114768	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604345.1_ASM2760434v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604345.1_ASM2760434v1_genomic.gff
GCA_025786725	Syncephalis_GCA_025786725.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Zoopagomycotina;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Syncephalis;Syncephalis fuscata	NCBI GenBank	GCA_025786725.1	474633	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025786725.1_Synfus1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025786725.1_Synfus1_genomic.gff
GCA_001563115	Colletotrichum_GCA_001563115.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum acutatum species complex;Colletotrichum nymphaeae;Colletotrichum nymphaeae SA-01	NCBI GenBank	GCA_001563115.1	91051	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_001563115.1_CNYM01_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_001563115.1_CNYM01_genomic.gff
GCA_002006685	Batrachochytrium_GCA_002006685.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophydiales;Rhizophydiales incertae sedis;Batrachochytrium;Batrachochytrium salamandrivorans	NCBI GenBank	GCA_002006685.2	915035	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_002006685.2_Batr_sala_V2_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_002006685.2_Batr_sala_V2_genomic.gff
GCA_027604745	Chytriomyces_GCA_027604745.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Chytriomyces;Chytriomyces hyalinus	NCBI GenBank	GCA_027604745.1	28716	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604745.1_ASM2760474v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604745.1_ASM2760474v1_genomic.gff
GCA_027603945	Terramyces_GCA_027603945.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Terramyces;unclassified Terramyces;Terramyces sp. JEL0728	NCBI GenBank	GCA_027603945.1	101760	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027603945.1_ASM2760394v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027603945.1_ASM2760394v1_genomic.gff
GCA_027596035	Thoreauomyces_GCA_027596035.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Thoreauomyces;Thoreauomyces humboldtii	NCBI GenBank	GCA_027596035.1	23424	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027596035.1_ASM2759603v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027596035.1_ASM2759603v1_genomic.gff
GCA_002916505	Tolypocladium_GCA_002916505.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Ophiocordycipitaceae;Tolypocladium;Tolypocladium paradoxum	funannotate	GCA_002916505.1	79785	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_002916505/GCA_002916505.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_002916505/gene_prediction_results/predict_results/GCA_002916505.gff3
GCA_027604625	Blyttiomyces_GCA_027604625.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiomycetes incertae sedis;Blyttiomyces;unclassified Blyttiomyces;Blyttiomyces sp. JEL0837	NCBI GenBank	GCA_027604625.1	12430	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604625.1_ASM2760462v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604625.1_ASM2760462v1_genomic.gff
GCA_027604545	Entophlyctis_GCA_027604545.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Entophlyctis;unclassified Entophlyctis;Entophlyctis sp. JEL0112	NCBI GenBank	GCA_027604545.1	47930	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604545.1_ASM2760454v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604545.1_ASM2760454v1_genomic.gff
GCA_001604925	Phyllosticta_GCA_001604925.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Phyllostictaceae;Phyllosticta;Phyllosticta capitalensis	funannotate	GCA_001604925.1	51729	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001604925/GCA_001604925.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001604925/gene_prediction_results/predict_results/GCA_001604925.gff3
GCA_001600455	Endocalyx_GCA_001600455.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Apiosporaceae;Endocalyx;Endocalyx cinctus	funannotate	GCA_001600455.1	4455713	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001600455/GCA_001600455.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001600455/gene_prediction_results/predict_results/GCA_001600455.gff3
GCA_000388065	Fonticula_GCA_000388065.2	cellular organisms;Eukaryota;Opisthokonta;Rotosphaerida;Fonticulaceae;Fonticula;Fonticula alba	funannotate	GCA_000388065.2	2631320	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000388065/GCA_000388065.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000388065/gene_prediction_results/predict_results/GCA_000388065.gff3
GCA_003706805	Trigonopsis_GCA_003706805.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Trigonopsidaceae;Trigonopsis;Trigonopsis vinaria	funannotate	GCA_003706805.2	412411	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003706805/GCA_003706805.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_003706805/gene_prediction_results/predict_results/GCA_003706805.gff3
GCA_000950595	Mucor_GCA_000950595.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor ambiguus	funannotate	GCA_000950595.1	86226	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000950595/GCA_000950595.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000950595/gene_prediction_results/predict_results/GCA_000950595.gff3
GCA_001956345	Ramalina_GCA_001956345.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Ramalinaceae;Ramalina;Ramalina peruviana	funannotate	GCA_001956345.1	40268	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001956345/GCA_001956345.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_001956345/gene_prediction_results/predict_results/GCA_001956345.gff3
GCA_027604645	Allomyces_GCA_027604645.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces javanicus	NCBI GenBank	GCA_027604645.1	104684	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027604645.1_ASM2760464v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027604645.1_ASM2760464v1_genomic.gff
GCA_000261425	Cladosporium_GCA_000261425.2	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium sphaerospermum;Cladosporium sphaerospermum UM 843	funannotate	GCA_000261425.2	968288	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000261425/GCA_000261425.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_000261425/gene_prediction_results/predict_results/GCA_000261425.gff3
GCA_025201865	Ramicandelaber_GCA_025201865.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Kickxellomycotina;Kickxellomycotina incertae sedis;Ramicandelaberales;Ramicandelaberaceae;Ramicandelaber;Ramicandelaber brevisporus	NCBI GenBank	GCA_025201865.1	35258	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025201865.1_Rambr1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025201865.1_Rambr1_genomic.gff
GCA_000225545	Orbilia_GCF_000225545.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia;Orbilia oligospora;Orbilia oligospora ATCC 24927	NCBI RefSeq	GCF_000225545.1	2032946	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_Fastas_in_NCBI_RefSeq/GCF_000225545.1_AOL24927_1.0_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI_RefSeq/GCF_000225545.1_AOL24927_1.0_genomic.gff
GCA_002927785	Cladonia_GCA_002927785.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Cladoniaceae;Cladonia;Cladonia uncialis	funannotate	GCA_002927785.1	34871	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_002927785/GCA_002927785.cleaned.sorted.masked.fa	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/researchdrive/Multicellularity_and_BGCs/Fungal_Funannotate_Results_Dir/GCA_002927785/gene_prediction_results/predict_results/GCA_002927785.gff3
GCA_025449115	Chytridium_GCA_025449115.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytridiaceae;Chytridium;Chytridium lagenaria	NCBI GenBank	GCA_025449115.1	216171	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_025449115.1_Chylag1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_025449115.1_Chylag1_genomic.gff
GCA_027596065	Siphonaria_GCA_027596065.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Siphonaria;unclassified Siphonaria (in: chytrids);Siphonaria sp. JEL0065	NCBI GenBank	GCA_027596065.1	21877	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_027596065.1_ASM2759606v1_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_027596065.1_ASM2759606v1_genomic.gff
GCA_002794465	Paramicrosporidium_GCA_002794465.1	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Cryptomycota;Cryptomycota incertae sedis;Paramicrosporidium;Paramicrosporidium saccamoebae	NCBI GenBank	GCA_002794465.1	69936	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/All_Genomes_LinksCorrected/GCA_002794465.1_KSL3_v6_genomic.fna	/workspace/lab/kalanlab/salamzar/multicellularity_and_bgcs/calcaneus/Multicellularity_and_BGC_Abundances/Polished_Fungi/Genome_GFFs_in_NCBI/GCA_002794465.1_KSL3_v6_genomic.gff
